year,state,avg_teacher_salary,adjusted_average_teacher_salary,per_pupil_spending
2021,Alabama,55834,55834,10693.48
2021,Arizona,54580,54580,9535.99
2021,Arkansas,52486,52486,10987.21
2021,California,87275,87275,14355.92
2021,Colorado,58481,58481,12754.28
2021,Connecticut,81185,81185,21878.02
2021,Delaware,65647,65647,17359.75
2021,District of Columbia,82523,82523,24535.09
2021,Florida,51230,51230,10421.68
2021,Georgia,61249,61249,12087.67
2021,Idaho,54232,54232,9032.16
2021,Illinois,72301,72301,17832.63
2021,Indiana,54126,54126,11420.71
2021,Iowa,59262,59262,12034.84
2021,Kansas,54815,54815,12845.25
2021,Kentucky,54574,54574,12125.8
2021,Louisiana,52376,52376,13413.04
2021,Maine,58757,58757,17332.37
2021,Maryland,75766,75766,16417.47
2021,Massachusetts,88903,88903,20259.54
2021,Michigan,65198,65198,12560.54
2021,Minnesota,68491,68491,13611.35
2021,Mississippi,47162,47162,10117.37
2021,Missouri,52481,52481,11401.86
2021,Montana,53628,53628,13156.63
2021,Nebraska,57420,57420,13294.14
2021,Nevada,57804,57804,10449.32
2021,New Hampshire,62783,62783,19423.45
2021,New Jersey,79045,79045,21543.4
2021,New Mexico,54272,54272,12126.73
2021,New York,92222,92222,26579.07
2021,North Carolina,53644,53644,10654.95
2021,North Dakota,55769,55769,14511.5
2021,Ohio,63153,63153,13501.11
2021,Oklahoma,54804,54804,10486.75
2021,Oregon,69671,69671,13036.87
2021,Pennsylvania,72248,72248,16249.16
2021,Rhode Island,76852,76852,18268.52
2021,South Carolina,53393,53393,12460.12
2021,South Dakota,49761,49761,10929.18
2021,Tennessee,53619,53619,10422.29
2021,Texas,58887,58887,10893.22
2021,Utah,58619,58619,9071.62
2021,Virginia,59965,59965,13834.85
2021,Washington,81586,81586,15353.82
2021,West Virginia,50315,50315,12966.11
2021,Wisconsin,60453,60453,13571.65
2021,Wyoming,60820,60820,18143.85
2020,Alabama,54271,58163,10128.49
2020,Arizona,52157,55898,8689.28
2020,Arkansas,51668,55374,10092.15
2020,California,85856,92014,13415.43
2020,Colorado,58183,62356,11503.26
2020,Connecticut,79742,85461,20543.33
2020,Delaware,65141,69813,17066.32
2020,District of Columbia,80659,86444,22856.03
2020,Florida,51009,54668,9936.79
2020,Georgia,60553,64896,11648.56
2020,Idaho,51817,55533,8249.99
2020,Illinois,70705,75776,16829.66
2020,Indiana,53072,56878,10780.29
2020,Iowa,58831,63051,11322.87
2020,Kansas,53619,57465,12116.79
2020,Kentucky,54139,58022,11396.79
2020,Louisiana,52472,56235,11856.84
2020,Maine,57167,61267,14506.63
2020,Maryland,74006,79314,15488.61
2020,Massachusetts,86755,92977,18614.26
2020,Michigan,64262,68871,11635.41
2020,Minnesota,66561,71335,12869.96
2020,Mississippi,46862,50223,9620.34
2020,Missouri,51557,55255,10804.17
2020,Montana,53133,56944,11965.36
2020,Nebraska,56463,60513,12441.32
2020,Nevada,58167,62339,9813.97
2020,New Hampshire,61849,66285,17884.18
2020,New Jersey,77677,83248,20017.46
2020,New Mexico,54923,58862,11331.46
2020,New York,90222,96693,25527.84
2020,North Carolina,53458,57292,9958.04
2020,North Dakota,54837,58770,13649.07
2020,Ohio,63082,67606,12781.05
2020,Oklahoma,54762,58690,9492.05
2020,Oregon,68565,73483,12130.39
2020,Pennsylvania,71479,76606,15602.99
2020,Rhode Island,75966,81415,16759.89
2020,South Carolina,53188,57003,11496.5
2020,South Dakota,49547,53101,10187.01
2020,Tennessee,52871,56663,9770.98
2020,Texas,57641,61775,10236.95
2020,Utah,57226,61330,8331.58
2020,Virginia,58506,62702,12903.77
2020,Washington,79388,85082,14251.21
2020,West Virginia,50261,53866,12293.8
2020,Wisconsin,59992,64295,12716.18
2020,Wyoming,60234,64554,16698.27
2019,Alabama,54095,59309,10078.78
2019,Arizona,50782,55677,8542.74
2019,Arkansas,50456,55320,10147.13
2019,California,84531,92679,13433.58
2019,Colorado,57706,63268,10937.76
2019,Connecticut,78427,85987,20540.25
2019,Delaware,64853,71104,16186.26
2019,District of Columbia,79350,86999,22561.95
2019,Florida,49102,53835,9645.3
2019,Georgia,60578,66417,11172.32
2019,Idaho,52875,57972,7963.02
2019,Illinois,68083,74646,15785.1
2019,Indiana,51745,56733,10283.1
2019,Iowa,58184,63792,11271.08
2019,Kansas,51320,56267,11354.98
2019,Kentucky,53907,59103,11291.03
2019,Louisiana,51566,56537,11766.67
2019,Maine,55276,60604,14344.63
2019,Maryland,73444,80523,15148.27
2019,Massachusetts,84290,92415,17603.47
2019,Michigan,63568,69695,11387.58
2019,Minnesota,58663,64318,12655.82
2019,Mississippi,46843,51358,9256.76
2019,Missouri,50817,55715,10772.77
2019,Montana,52135,57160,11877.77
2019,Nebraska,55267,60594,12257.15
2019,Nevada,56672,62135,9343.72
2019,New Hampshire,59622,65369,17445.1
2019,New Jersey,76376,83738,19840.05
2019,New Mexico,54256,59486,10176.62
2019,New York,87069,95462,25145.86
2019,North Carolina,54150,59370,9856.79
2019,North Dakota,53525,58684,13432.4
2019,Ohio,61406,67325,12558.19
2019,Oklahoma,54096,59310,9307.07
2019,Oregon,67685,74209,11754.2
2019,Pennsylvania,70339,77119,15342.73
2019,Rhode Island,75336,82598,16665.41
2019,South Carolina,53329,58470,11121.48
2019,South Dakota,48984,53706,10115.73
2019,Tennessee,51862,56861,9670.87
2019,Texas,57090,62593,9728.91
2019,Utah,54678,59949,8005.19
2019,Virginia,57665,63223,12639.84
2019,Washington,76743,84140,14029.12
2019,West Virginia,50238,55081,11944.28
2019,Wisconsin,59431,65160,12574.99
2019,Wyoming,59786,65549,16304.0
2009,Alabama,47571,61901,8871.31
2009,Arizona,46952,61096,7723.25
2009,Arkansas,46700,60768,8522.99
2009,California,68203,88749,9028.37
2009,Colorado,49202,64024,8634.85
2009,Connecticut,64350,83735,14633.88
2009,Delaware,57080,74275,12085.01
2009,District of Columbia,64548,83993,16408.0
2009,Florida,46708,60778,8760.42
2009,Georgia,53112,69112,9592.74
2009,Idaho,46283,60225,7074.41
2009,Illinois,62077,80777,10445.26
2009,Indiana,49986,65044,9230.52
2009,Iowa,49626,64576,9111.92
2009,Kansas,46657,60712,9931.24
2009,Kentucky,49543,64468,8755.69
2009,Louisiana,48903,63635,10438.5
2009,Maine,46106,59995,12079.7
2009,Maryland,63971,83242,13449.16
2009,Massachusetts,69273,90141,13933.44
2009,Michigan,57958,75417,9728.55
2009,Minnesota,52431,68225,10492.96
2009,Mississippi,45644,59394,8070.97
2009,Missouri,45317,58968,9181.76
2009,Montana,45759,59544,9900.94
2009,Nebraska,46227,60153,9566.5
2009,Nevada,51524,67045,8422.35
2009,New Hampshire,51443,66940,11979.55
2009,New Jersey,65130,84750,15701.78
2009,New Mexico,46258,60193,9439.2
2009,New York,71633,93212,18118.22
2009,North Carolina,46850,60963,8587.09
2009,North Dakota,42964,55907,9699.62
2009,Ohio,55958,72815,9751.91
2009,Oklahoma,47691,62058,7648.56
2009,Oregon,55224,71860,9136.09
2009,Pennsylvania,59156,76976,11212.13
2009,Rhode Island,59686,77666,13707.21
2009,South Carolina,47508,61819,9235.87
2009,South Dakota,38837,50536,8320.11
2009,Tennessee,46290,60235,7889.49
2009,Texas,48261,62799,8457.75
2009,Utah,45885,59708,6356.33
2009,Vermont,49084,63870,13690.08
2009,Virginia,50015,65082,10928.52
2009,Washington,53003,68970,9417.54
2009,West Virginia,45959,59804,10366.92
2009,Wisconsin,51264,66707,11057.53
2009,Wyoming,55861,72689,14572.76
