year,state,avg_teacher_salary,adjusted_average_teacher_salary,per_pupil_spending
2021,Alabama,55834,55834,10693.48
2021,Arizona,54580,54580,9535.99
2021,Arkansas,52486,52486,10987.21
2021,California,87275,87275,14355.92
2021,Colorado,58481,58481,12754.28
2021,Connecticut,81185,81185,21878.02
2021,Delaware,65647,65647,17359.75
2021,District of Columbia,82523,82523,24535.09
2021,Florida,51230,51230,10421.68
2021,Georgia,61249,61249,12087.67
2021,Idaho,54232,54232,9032.16
2021,Illinois,72301,72301,17832.63
2021,Indiana,54126,54126,11420.71
2021,Iowa,59262,59262,12034.84
2021,Kansas,54815,54815,12845.25
2021,Kentucky,54574,54574,12125.8
2021,Louisiana,52376,52376,13413.04
2021,Maine,58757,58757,17332.37
2021,Maryland,75766,75766,16417.47
2021,Massachusetts,88903,88903,20259.54
2021,Michigan,65198,65198,12560.54
2021,Minnesota,68491,68491,13611.35
2021,Mississippi,47162,47162,10117.37
2021,Missouri,52481,52481,11401.86
2021,Montana,53628,53628,13156.63
2021,Nebraska,57420,57420,13294.14
2021,Nevada,57804,57804,10449.32
2021,New Hampshire,62783,62783,19423.45
2021,New Jersey,79045,79045,21543.4
2021,New Mexico,54272,54272,12126.73
2021,New York,92222,92222,26579.07
2021,North Carolina,53644,53644,10654.95
2021,North Dakota,55769,55769,14511.5
2021,Ohio,63153,63153,13501.11
2021,Oklahoma,54804,54804,10486.75
2021,Oregon,69671,69671,13036.87
2021,Pennsylvania,72248,72248,16249.16
2021,Rhode Island,76852,76852,18268.52
2021,South Carolina,53393,53393,12460.12
2021,South Dakota,49761,49761,10929.18
2021,Tennessee,53619,53619,10422.29
2021,Texas,58887,58887,10893.22
2021,Utah,58619,58619,9071.62
2021,Virginia,59965,59965,13834.85
2021,Washington,81586,81586,15353.82
2021,West Virginia,50315,50315,12966.11
2021,Wisconsin,60453,60453,13571.65
2021,Wyoming,60820,60820,18143.85
