year,state_name,required_spending_statewide,actual_spending_statewide,statewide_enrollment
2022,Alabama,16906.01,11831.51,722809.0
2022,Alaska,,,
2022,Arizona,12365.54,10231.73,896996.0
2022,Arkansas,15963.61,11855.17,459418.0
2022,California,16534.45,16303.22,5188806.0
2022,Colorado,12531.42,13297.92,856067.0
2022,Connecticut,13571.49,23502.04,468926.0
2022,Delaware,15925.11,19316.56,115548.0
2022,District of Columbia,24053.67,27424.98,48635.0
2022,Florida,13826.47,11075.87,2805486.0
2022,Georgia,16525.39,13556.86,1699426.0
2022,Hawaii,,,
2022,Idaho,10578.55,9648.73,285240.0
2022,Illinois,16116.83,18499.39,1847988.0
2022,Indiana,12376.33,12205.91,978624.0
2022,Iowa,11633.75,12571.78,510661.0
2022,Kansas,12354.72,13833.63,478848.0
2022,Kentucky,12649.52,13549.32,654098.0
2022,Louisiana,17901.83,14954.85,601823.0
2022,Maine,11505.86,17533.76,127067.0
2022,Maryland,16210.71,17752.88,881064.0
2022,Massachusetts,13613.74,21769.35,823906.0
2022,Michigan,14483.14,14057.13,1244451.0
2022,Minnesota,12292.05,14623.84,786817.0
2022,Mississippi,20404.5,10917.35,415634.0
2022,Missouri,13129.1,12138.49,859977.0
2022,Montana,12579.86,13461.93,144745.0
2022,Nebraska,12856.51,13729.5,321329.0
2022,Nevada,15559.57,11677.27,430975.0
2022,New Hampshire,9702.39,21522.24,159756.0
2022,New Jersey,13701.03,24341.17,1275966.0
2022,New Mexico,16977.99,13259.81,299234.0
2022,New York,17137.18,29882.55,2369616.0
2022,North Carolina,14689.16,12298.29,1391967.0
2022,North Dakota,12028.52,15356.94,107003.0
2022,Ohio,14556.17,14599.9,1533487.0
2022,Oklahoma,13028.74,10876.92,637249.0
2022,Oregon,12295.86,14817.74,551268.0
2022,Pennsylvania,13064.76,17484.2,1506636.0
2022,Rhode Island,13910.34,19860.31,126075.0
2022,South Carolina,15429.17,13294.57,703360.0
2022,South Dakota,11712.48,11539.6,138709.0
2022,Tennessee,12035.61,11036.6,845370.0
2022,Texas,17004.59,11663.99,5044101.0
2022,Utah,9848.65,9496.16,579231.0
2022,Vermont,,,
2022,Virginia,14303.13,15058.12,1249688.0
2022,Washington,12476.67,16830.52,1075019.0
2022,West Virginia,11932.21,13729.85,252207.0
2022,Wisconsin,12670.67,14477.78,815246.0
2022,Wyoming,10380.84,18529.45,92756.0
2021,Alabama,16938.06,10693.48,710694.0
2021,Alaska,,,
2021,Arizona,11963.39,9535.99,876607.0
2021,Arkansas,15474.14,10987.21,456854.0
2021,California,15939.32,14355.92,5290000.0
2021,Colorado,11982.72,12754.28,856446.0
2021,Connecticut,13692.34,21878.02,468502.0
2021,Delaware,16389.53,17359.75,114125.0
2021,District of Columbia,26667.63,24535.09,49896.0
2021,Florida,13821.13,10421.68,2748883.0
2021,Georgia,17420.08,12087.67,1690602.0
2021,Hawaii,,,
2021,Idaho,10374.5,9032.16,278571.0
2021,Illinois,15591.11,17832.63,1862474.0
2021,Indiana,12287.26,11420.71,976201.0
2021,Iowa,11412.6,12034.84,506656.0
2021,Kansas,11800.76,12845.25,476237.0
2021,Kentucky,12429.79,12125.8,658657.0
2021,Louisiana,17967.99,13413.04,612129.0
2021,Maine,11412.9,17332.37,126680.0
2021,Maryland,17224.79,16417.47,882124.0
2021,Massachusetts,13903.79,20259.54,824178.0
2021,Michigan,14089.85,12560.54,1248491.0
2021,Minnesota,11823.69,13611.35,789353.0
2021,Mississippi,19038.63,10117.37,414407.0
2021,Missouri,12703.28,11401.86,852035.0
2021,Montana,12250.95,13156.63,141192.0
2021,Nebraska,12120.56,13294.14,318515.0
2021,Nevada,14868.15,10449.32,428853.0
2021,New Hampshire,9985.28,19423.45,159132.0
2021,New Jersey,13966.23,21543.4,1278495.0
2021,New Mexico,16183.45,12126.73,300175.0
2021,New York,18628.78,26579.07,2431235.0
2021,North Carolina,14580.1,10654.95,1386186.0
2021,North Dakota,11279.89,14511.5,111302.0
2021,Ohio,14184.34,13501.11,1521994.0
2021,Oklahoma,13379.26,10486.75,610678.0
2021,Oregon,11695.37,13036.87,558930.0
2021,Pennsylvania,13105.16,16249.16,1513947.0
2021,Rhode Island,15618.63,18268.52,127560.0
2021,South Carolina,15047.4,12460.12,694440.0
2021,South Dakota,11060.96,10929.18,136993.0
2021,Tennessee,12084.44,10422.29,828889.0
2021,Texas,17383.83,10893.22,5000000.0
2021,Utah,9771.76,9071.62,566906.0
2021,Vermont,,,
2021,Virginia,14175.04,13834.85,1251486.0
2021,Washington,12302.04,15353.82,1081630.0
2021,West Virginia,11110.43,12966.11,253447.0
2021,Wisconsin,12721.32,13571.65,816616.0
2021,Wyoming,9790.14,18143.85,92611.0
2020,Alabama,15177.84,10128.49,722548.0
2020,Alaska,,,
2020,Arizona,11183.15,8689.28,934525.0
2020,Arkansas,14422.88,10092.15,470182.0
2020,California,14736.68,13415.43,5465352.0
2020,Colorado,11131.77,11503.26,891084.0
2020,Connecticut,12443.79,20543.33,483151.0
2020,Delaware,15185.87,17066.32,116518.0
2020,District of Columbia,23702.99,22856.03,50971.0
2020,Florida,12854.37,9936.79,2838569.0
2020,Georgia,16178.25,11648.56,1735585.0
2020,Hawaii,,,
2020,Idaho,9512.75,8249.99,287904.0
2020,Illinois,14210.05,16829.66,1910634.0
2020,Indiana,11542.49,10780.29,996378.0
2020,Iowa,10766.22,11322.87,517324.0
2020,Kansas,11238.13,12116.79,492558.0
2020,Kentucky,11274.19,11396.79,691816.0
2020,Louisiana,15969.71,11856.84,631826.0
2020,Maine,10598.63,14506.63,132658.0
2020,Maryland,15027.87,15488.61,909003.0
2020,Massachusetts,12478.09,18614.26,861002.0
2020,Michigan,13220.29,11635.41,1299608.0
2020,Minnesota,10997.7,12869.96,815948.0
2020,Mississippi,18091.3,9620.34,440027.0
2020,Missouri,11738.13,10804.17,880489.0
2020,Montana,11116.05,11965.36,144971.0
2020,Nebraska,11220.97,12441.32,324117.0
2020,Nevada,13585.1,9813.97,447293.0
2020,New Hampshire,9198.81,17884.18,167747.0
2020,New Jersey,12475.81,20017.46,1319953.0
2020,New Mexico,14437.18,11331.46,315372.0
2020,New York,16847.29,25527.84,2527902.0
2020,North Carolina,13647.91,9958.04,1441355.0
2020,North Dakota,10264.7,13649.07,112635.0
2020,Ohio,12840.72,12781.05,1576931.0
2020,Oklahoma,11828.04,9492.05,656150.0
2020,Oregon,10665.33,12130.39,580542.0
2020,Pennsylvania,11800.5,15602.99,1564541.0
2020,Rhode Island,13318.86,16759.89,132629.0
2020,South Carolina,14014.34,11496.5,721687.0
2020,South Dakota,10501.26,10187.01,137387.0
2020,Tennessee,11204.32,9770.98,854846.0
2020,Texas,15759.58,10236.95,5152667.0
2020,Utah,9027.97,8331.58,571753.0
2020,Vermont,,,
2020,Virginia,12873.76,12903.77,1296817.0
2020,Washington,11220.98,14251.21,1136285.0
2020,West Virginia,10380.74,12293.8,263486.0
2020,Wisconsin,11713.54,12716.18,842439.0
2020,Wyoming,9024.48,16698.27,94234.0
2019,Alabama,15192.61,10078.78,721964.0
2019,Alaska,,,
2019,Arizona,11395.14,8542.74,928814.0
2019,Arkansas,14124.9,10147.13,470454.0
2019,California,14593.44,13433.58,5508945.0
2019,Colorado,10905.58,10937.76,889886.0
2019,Connecticut,12953.74,20540.25,486809.0
2019,Delaware,14596.33,16186.26,115243.0
2019,District of Columbia,21841.13,22561.95,49065.0
2019,Florida,12696.78,9645.3,2827129.0
2019,Georgia,15610.51,11172.32,1735266.0
2019,Hawaii,,,
2019,Idaho,9369.13,7963.02,287904.0
2019,Illinois,14089.32,15785.1,1937342.0
2019,Indiana,11207.18,10283.1,1000144.0
2019,Iowa,10569.73,11271.08,514833.0
2019,Kansas,11156.52,11354.98,492783.0
2019,Kentucky,11269.68,11291.03,677653.0
2019,Louisiana,16515.22,11766.67,632654.0
2019,Maine,10297.71,14344.63,132590.0
2019,Maryland,15082.42,15148.27,896423.0
2019,Massachusetts,12307.83,17603.47,866972.0
2019,Michigan,13055.63,11387.58,1310029.0
2019,Minnesota,10997.23,12655.82,815738.0
2019,Mississippi,18394.8,9256.76,450027.0
2019,Missouri,11724.04,10772.77,883250.0
2019,Montana,10926.78,11877.77,144297.0
2019,Nebraska,10874.88,12257.15,320829.0
2019,Nevada,13362.73,9343.72,448546.0
2019,New Hampshire,8906.32,17445.1,169214.0
2019,New Jersey,12164.14,19840.05,1313229.0
2019,New Mexico,14580.74,10176.62,318845.0
2019,New York,16467.71,25145.86,2547924.0
2019,North Carolina,13679.03,9856.79,1440327.0
2019,North Dakota,10209.45,13432.4,110362.0
2019,Ohio,12848.78,12558.19,1583056.0
2019,Oklahoma,11817.28,9307.07,659016.0
2019,Oregon,10657.97,11754.2,580797.0
2019,Pennsylvania,12013.39,15342.73,1566383.0
2019,Rhode Island,13204.82,16665.41,133091.0
2019,South Carolina,14130.07,11121.48,729594.0
2019,South Dakota,10257.22,10115.73,136343.0
2019,Tennessee,11150.76,9670.87,848424.0
2019,Texas,15448.34,9728.91,5110943.0
2019,Utah,9140.32,8005.19,563140.0
2019,Vermont,,,
2019,Virginia,12869.52,12639.84,1289176.0
2019,Washington,11168.7,14029.12,1119433.0
2019,West Virginia,10120.58,11944.28,267976.0
2019,Wisconsin,11660.24,12574.99,846480.0
2019,Wyoming,8848.05,16304.0,93734.0
2018,Alabama,15437.14,9695.17,725552.0
2018,Alaska,,,
2018,Arizona,11330.08,8167.16,917237.0
2018,Arkansas,14486.36,9927.65,473325.0
2018,California,14637.95,11666.37,5969561.0
2018,Colorado,10833.54,10115.71,889510.0
2018,Connecticut,12385.9,19916.27,491590.0
2018,Delaware,14404.22,15521.74,113857.0
2018,District of Columbia,23330.1,22759.09,48205.0
2018,Florida,12837.13,9346.02,2812329.0
2018,Georgia,15416.58,10756.18,1733206.0
2018,Hawaii,,,
2018,Idaho,9234.64,7750.34,281256.0
2018,Illinois,13616.42,15330.35,1972339.0
2018,Indiana,11312.3,10150.86,1001173.0
2018,Iowa,10556.8,11104.61,511850.0
2018,Kansas,11103.26,11110.61,491593.0
