year,state,avg_teacher_salary,adjusted_average_teacher_salary
1969,Alabama,6818,50903
1969,Alaska,10560,78840
1969,Arizona,8711,65036
1969,Arkansas,6307,47088
1969,California,10315,77011
1969,Colorado,7761,57943
1969,Connecticut,9262,69149
1969,Delaware,9015,67305
1969,District of Columbia,10285,76787
1969,Florida,8412,62803
1969,Georgia,7276,54322
1969,Hawaii,9453,70575
1969,Idaho,6890,51440
1969,Illinois,9569,71441
1969,Indiana,8833,65946
1969,Iowa,8355,62378
1969,Kansas,7612,56831
1969,Kentucky,6953,51911
1969,Louisiana,7028,52470
1969,Maine,7572,56532
1969,Maryland,9383,70053
1969,Massachusetts,8764,65431
1969,Michigan,9826,73360
1969,Minnesota,8658,64640
1969,Mississippi,5798,43287
1969,Missouri,7799,58227
1969,Montana,7606,56786
1969,Nebraska,7375,55061
1969,Nevada,9215,68798
1969,New Hampshire,7771,58018
1969,New Jersey,9130,68164
1969,New Mexico,7796,58204
1969,New York,10336,77168
1969,North Carolina,7494,55950
1969,North Dakota,6696,49992
1969,Ohio,8300,61967
1969,Oklahoma,6882,51380
1969,Oregon,8818,65834
1969,Pennsylvania,8858,66133
1969,Rhode Island,8776,65521
1969,South Carolina,6927,51716
1969,South Dakota,6403,47804
1969,Tennessee,7050,52635
1969,Texas,7255,54165
1969,Utah,7644,57069
1969,Vermont,7968,59488
1969,Virginia,8070,60250
1969,Washington,9225,68873
1969,West Virginia,7650,57114
1969,Wisconsin,8963,66917
1969,Wyoming,8232,61459
1979,Alabama,13060,47444
1979,Alaska,27210,98848
1979,Arizona,15054,54688
1979,Arkansas,12299,44680
1979,California,18020,65463
1979,Colorado,16205,58869
1979,Connecticut,16229,58957
1979,Delaware,16148,58662
1979,District of Columbia,22190,80612
1979,Florida,14149,51400
1979,Georgia,13853,50325
1979,Hawaii,19920,72365
1979,Idaho,13611,49446
1979,Illinois,17601,63941
1979,Indiana,15599,56668
1979,Iowa,15203,55229
1979,Kansas,13690,49733
1979,Kentucky,14520,52748
1979,Louisiana,13760,49987
1979,Maine,13071,47484
1979,Maryland,17558,63785
1979,Massachusetts,17253,62677
1979,Michigan,19663,71432
1979,Minnesota,15912,57805
1979,Mississippi,11850,43049
1979,Missouri,13682,49704
1979,Montana,14537,52810
1979,Nebraska,13516,49101
1979,Nevada,16295,59196
1979,New Hampshire,13017,47288
1979,New Jersey,17161,62342
1979,New Mexico,14887,54081
1979,New York,19812,71973
1979,North Carolina,14117,51284
1979,North Dakota,13263,48182
1979,Ohio,15269,55469
